番号	問題文	正解	解説
1	秋にお月見でおそなえする、まるいおかしは？	つきみだんご	十五夜のお月見には、満月に見立てた団子をおそなえします。
2	コミュニティセンターで毎月くばられる、おしらせの紙は？	おたより	行事の予定やお知らせがのっています。
3	お正月に食べる、おもちの入ったしるものは？	おぞうに	地域によって、しょうゆ味やみそ味などちがいがあります。
4	雨の日に、これをさして出かけます。何でしょう？	あまがさ	日本では平安時代から使われていたといわれます。
5	節分の日に「鬼は外、福は内」とまくものは？	いりだいず	大豆をいってからまき、一年の健康をねがいます。
6	七夕のときに、短冊をつるす植物は？	ささのは	笹の葉に願いごとを書いた短冊をかざります。
7	夏の夜、おしりを光らせながらとぶ虫は？	げんじぼたる	きれいな水のあるところにすんでいます。
8	朝いちばんに、顔を合わせたらするあいさつは？	おはよう	一日のはじまりのあいさつです。
9	わきの下にはさんで、熱をはかる道具は？	たいおんけい	今は耳ではかるタイプもあります。
10	春に、うすいピンク色の花をさかせる木は？	さくらのき	お花見は日本の春の楽しみのひとつです。
11	毎日の食事のあと、歯をきれいにすることを何という？	はみがき	むし歯をふせぐために大切です。
12	体をうごかして、けんこうをたもつことを何という？	うんどう	散歩や体そうも立派な運動です。
